RequestFileName,GenerateTime,ResponseTime,Qos
14-21096-703-32,1233,1234,1.0
6-8920-297-51,1234,1245,11.0
14-21096-703-31,1234,1235,1.0
13-20335-677-127,1235,1236,1.0
14-21096-703-33,1236,1237,1.0
6-8920-297-50,1241,1245,4.0
2-3535-117-128,1246,1257,11.0
6-8920-297-52,1249,1250,1.0
6-8866-295-81,1253,1264,11.0
2-3535-117-129,1258,1259,1.0
16-23993-799-116,1263,1264,1.0
16-23993-799-117,1265,1266,1.0
6-8866-295-80,1265,1266,1.0
16-23993-799-118,1267,1268,1.0
6-8866-295-82,1269,1270,1.0
10-15734-524-71,1271,1272,1.0
13-19258-641-144,1271,1282,11.0
10-15734-524-72,1272,1273,1.0
3-4837-161-36,1273,1274,1.0
10-15734-524-70,1279,1280,1.0
0-538-17-144,1283,1284,1.0
0-538-17-143,1284,1285,1.0
0-1162-38-114,1285,1296,11.0
3-4837-161-35,1286,1287,1.0
3-4837-161-37,1288,1289,1.0
0-1162-38-112,1291,1296,5.0
0-1162-38-110,1293,1296,3.0
0-1162-38-113,1294,1296,2.0
0-1162-38-111,1295,1296,1.0
19-28008-933-90,1296,1297,1.0
8-12397-413-37,1300,1311,11.0
19-28008-933-91,1304,1305,1.0
4-6498-216-93,1306,1317,11.0
9-13548-451-90,1306,1317,11.0
9-13548-451-91,1307,1317,10.0
8-12397-413-39,1311,1312,1.0
16-23993-799-119,1313,1314,1.0
8-12397-413-36,1315,1316,1.0
8-12397-413-38,1315,1316,1.0
4-6498-216-94,1319,1320,1.0
2-3536-117-131,1322,1323,1.0
8-12397-413-35,1322,1323,1.0
2-3536-117-132,1326,1327,1.0
2-3536-117-130,1326,1327,1.0
9-13548-451-93,1327,1328,1.0
9-13548-451-92,1332,1333,1.0
9-13548-451-94,1333,1334,1.0
1-2391-79-107,1341,1342,1.0
18-26535-884-79,1344,1345,1.0
4-6957-231-135,1345,1346,1.0
1-2391-79-108,1346,1347,1.0
1-2391-79-109,1347,1348,1.0
17-26183-872-117,1350,1361,11.0
6-9027-300-137,1350,1351,1.0
18-26535-884-78,1351,1352,1.0
6-9027-300-136,1351,1352,1.0
6-9027-300-138,1359,1360,1.0
17-26183-872-116,1365,1366,1.0
18-26948-898-43,1366,1367,1.0
18-26948-898-42,1366,1367,1.0
19-28534-951-24,1369,1380,11.0
6-8919-297-48,1369,1370,1.0
18-26948-898-41,1371,1372,1.0
19-28534-951-23,1376,1380,4.0
18-26948-898-44,1376,1377,1.0
12-17673-589-19,1378,1379,1.0
6-8919-297-49,1379,1380,1.0
4-7303-243-65,1380,1381,1.0
2-3503-116-119,1382,1393,11.0
2-3503-116-118,1382,1393,11.0
17-26183-872-115,1382,1383,1.0
2-3503-116-117,1386,1393,7.0
5-8750-291-100,1390,1391,1.0
2-3503-116-116,1390,1393,3.0
9-14208-473-90,1390,1391,1.0
17-25272-842-60,1396,1397,1.0
9-14208-473-91,1396,1397,1.0
17-25272-842-62,1400,1401,1.0
5-8750-291-101,1404,1405,1.0
17-25272-842-61,1407,1408,1.0
17-25478-849-43,1407,1408,1.0
17-25478-849-42,1409,1410,1.0
7-11614-387-22,1411,1412,1.0
13-19483-649-68,1413,1414,1.0
13-19483-649-67,1417,1418,1.0
7-11614-387-23,1418,1419,1.0
13-19483-649-69,1419,1420,1.0
7-10639-354-98,1422,1433,11.0
7-11614-387-21,1423,1424,1.0
7-11614-387-20,1423,1424,1.0
13-19483-649-66,1424,1425,1.0
17-25478-849-40,1428,1429,1.0
13-20334-677-124,1431,1432,1.0
7-10639-354-99,1435,1436,1.0
1-2085-69-79,1437,1438,1.0
13-20334-677-123,1438,1439,1.0
17-25478-849-41,1438,1439,1.0
17-26182-872-114,1440,1441,1.0
19-28535-951-27,1441,1442,1.0
19-28535-951-26,1443,1444,1.0
17-26182-872-113,1445,1446,1.0
19-28535-951-25,1445,1446,1.0
3-5585-186-26,1457,1458,1.0
3-5585-186-28,1457,1458,1.0
13-19259-641-146,1457,1458,1.0
3-5585-186-27,1458,1459,1.0
3-5585-186-29,1459,1460,1.0
2-3504-116-120,1461,1462,1.0
13-19259-641-148,1462,1463,1.0
13-19259-641-145,1466,1467,1.0
13-19259-641-147,1467,1468,1.0
13-20453-681-119,1467,1468,1.0
6-9026-300-134,1470,1471,1.0
13-20453-681-116,1471,1472,1.0
13-20453-681-118,1474,1475,1.0
13-19206-640-33,1476,1477,1.0
